CC or CH,Apartment Name,CC_ID,Priority_Last Date,Priority,Add,District,City,Latitude,Longitude,CL Apartment Name,Ngày hoàn thành,Handover Y-Q,Quantity,Ngày bàn giao cuối cùng,Số Lượng Biệt Thự,Price/m2,rating,user_ratings_total,business_status,place_id,Total Population,Total Households,Average Household Size,CC_Segment,Sales,que_point,Close_Store
CC,KDC Bắc Hà Hoàng Hổ,CCAGI0001,,0,"80 Bùi Văn Danh, Mỹ Hoà, Thành phố Long Xuyên, An Giang",Long Xuyên,An Giang,10.387275,105.4285,,,,,,,,,,,,,,,Trung bình,,,
CC,TNR Stars Thoại Sơn,CCAGI0002,,0,"TT. Núi Sập, Thoại Sơn, An Giang, Việt Nam",Thoại Sơn,An Giang,10.277586,105.274128,TNR Stars Thoại Sơn,,,,,,,,,,,,,,Trung bình,,,
CC,Golden City An Giang,CCAGI0003,,0,"Nguyễn Hoàng, Mỹ Hoà, Thành phố Long Xuyên, An Giang",Long Xuyên,An Giang,10.384198,105.425245,Golden City,,,,,,,,,,,,,,Trung bình,,,
CC,KĐT Tây Sông Hậu,CCAGI0004,,0,"P. Mỹ Phước, Thành phố Long Xuyên, An Giang, Việt Nam",Long Xuyên,An Giang,10.371926,105.453211,Khu Dân Cư Tây Sông Hậu,1/1/2018,2018-1,100,,,,,,,,,,,Trung bình,,,
CC,Marina Plaza,CCAGI0005,,0,"01 Trần Hưng Đạo, P. Mỹ Bình, Thành phố Long Xuyên, An Giang, Việt Nam",Long Xuyên,An Giang,10.390464,105.429693,,,,,,,,,,,,,,,Trung bình,,,
CC,First Home An Giang,CCAGI0006,,0,"Nguyễn Hoàng, Mỹ Hoà, Thành phố Long Xuyên, An Giang",Long Xuyên,An Giang,10.387168,105.424832,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Đức Thành,CCAGI0007,,0,"90 Trần Quang Khải, P. Mỹ Thới, Thành phố Long Xuyên, An Giang",Long Xuyên,An Giang,10.346716,105.45999,,,,,,,,,,,,,,,Trung bình,,,
CC,KĐT Sao Mai,CCAGI0008,,0,"Châu Phú, An Giang, Việt Nam",Châu Phú,An Giang,10.579287,105.237996,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Đoàn Kết,CCAGI0009,,0,"Mỹ Thới, Long Xuyên, An Giang",Long Xuyên,An Giang,,,,,,,,,,,,,,,,,Trung bình,,,
CC,Sonadezi,,,0,"Đường số 1,Châu Đức,Bà Rịa - Vũng Tàu",Châu Đức,Bà Rịa - Vũng Tàu,10.5911476,107.2266183,,,,1213,,,,,,,,,,,,,,
CC,Phú Mỹ Future City,,,0,"Phú Mỹ,Bà Rịa - Vũng Tàu",Phú Mỹ,Bà Rịa - Vũng Tàu,10.5905345,107.0480378,,,,,,,,,,,,,,,,,,
CC,Khu nhà ở Tây 3/2,,,0,"Đường Hàng Điều,Phường 11,Vũng Tàu,Bà Rịa - Vũng Tàu",Vũng Tàu,Bà Rịa - Vũng Tàu,10.3906346,107.1327852,,,,,,114,,,,,,,,,,,,
CC,The Light City (Giai đoạn 1),,,0,"Phường 12,Vũng Tàu,Bà Rịa - Vũng Tàu",Vũng Tàu,Bà Rịa - Vũng Tàu,10.4230641,107.1582633,,2020-12-31 0:00:00,2020-4,,,213,,,,,,,,,,,,
