fid,Total Population,Total Households,Average Household Size
1139124,0,0,0.0
1139125,527,157,3.36
1139126,0,0,0.0
1139127,93,28,3.32
1139128,325,97,3.35
1139129,46,14,3.29
1139130,256,76,3.37
1139131,93,28,3.32
1139132,46,14,3.29
1140766,0,0,0.0
1140767,565,168,3.36
1140768,85,25,3.4
1140769,740,220,3.36
1140770,387,115,3.37
1140771,388,115,3.37
1140772,950,283,3.36
1140773,124,37,3.35
1140774,511,152,3.36
1140775,267,79,3.38
1142408,185,55,3.36
1142409,263,78,3.37
1142410,93,28,3.32
1142411,506,151,3.35
1142412,360,107,3.36
1142413,1136,338,3.36
1142414,1321,393,3.36
1142415,544,162,3.36
1142416,279,83,3.36
1142417,157,47,3.34
1144050,204,61,3.34
1144051,595,177,3.36
1144052,1238,368,3.36
1144053,1784,531,3.36
1144054,2328,693,3.36
1144055,5131,1527,3.36
1144056,7216,2147,3.36
1144057,1248,371,3.36
1144058,506,151,3.35
1144059,347,103,3.37
1145692,220,64,3.44
1145693,867,258,3.36
1145694,1162,346,3.36
1145695,1705,507,3.36
1145696,9359,2785,3.36
1145697,12133,3610,3.36
1145698,10848,3228,3.36
1145699,2870,854,3.36
1145700,747,222,3.36
1145701,465,138,3.37
1145702,171,51,3.35
1147334,221,64,3.45
1147335,333,99,3.36
1147336,1001,298,3.36
1147337,4363,1298,3.36
1147338,7807,2323,3.36
1147339,8211,2443,3.36
1147340,10376,3087,3.36
1147341,4082,1214,3.36
1147342,670,199,3.37
1147343,93,28,3.32
1147344,682,203,3.36
1148976,93,28,3.32
1148977,537,160,3.36
1148978,862,257,3.35
1148979,1762,524,3.36
1148980,1488,443,3.36
1148981,3015,897,3.36
1148982,3578,1064,3.36
1148983,2271,676,3.36
1148984,256,76,3.37
1148985,246,73,3.37
1148986,442,132,3.35
1150618,0,0,0.0
1150619,436,130,3.35
1150620,875,260,3.37
1150621,1284,382,3.36
1150622,5867,1746,3.36
1150623,10276,3057,3.36
1150624,2141,637,3.36
1150625,1212,361,3.36
1150626,767,228,3.36
1150627,581,173,3.36
1150628,93,28,3.32
1152260,0,0,0.0
1152261,314,94,3.34
1152262,940,280,3.36
1152263,2039,607,3.36
1152264,6007,1787,3.36
1152265,4405,1311,3.36
1152266,995,296,3.36
1152267,685,204,3.36
1152268,511,152,3.36
1152269,310,92,3.37
1153902,146,38,3.84
1153903,386,115,3.36
1153904,5339,1588,3.36
1153905,7494,2230,3.36
1153906,1587,472,3.36
1153907,1012,301,3.36
1153908,306,91,3.36
1153909,0,0,0.0
1153910,0,0,0.0
1155544,333,78,4.27
1155545,381,113,3.37
1155546,845,251,3.37
1155547,537,160,3.36
1155548,241,72,3.35
1155549,472,140,3.37
1155550,429,128,3.35
1155551,0,0,0.0
1157186,44,9,4.89
1157187,93,28,3.32
1157188,0,0,0.0
1157189,394,117,3.37
1157190,506,151,3.35
1157191,1246,371,3.36
1157192,16,5,3.2
1158828,0,0,0.0
1158829,0,0,0.0
1158830,314,93,3.38
1158831,413,123,3.36
1158832,93,28,3.32
1158833,4154,1236,3.36
1158834,59,18,3.28
