fid,Total Population,Total Households,Average Household Size
1052017,108,25,4.32
1052018,102,25,4.08
1052019,165,41,4.02
1052020,648,162,4.0
1052021,394,99,3.98
1052022,64,16,4.0
1052023,0,0,0.0
1053655,162,37,4.38
1053656,271,62,4.37
1053657,217,50,4.34
1053658,108,25,4.32
1053659,217,50,4.34
1053660,51,13,3.92
1053661,254,64,3.97
1053662,152,38,4.0
1053663,76,19,4.0
1053664,229,57,4.02
1053665,330,83,3.98
1053666,381,96,3.97
1053667,305,76,4.01
1055295,0,0,0.0
1055296,0,0,0.0
1055297,514,118,4.36
1055298,298,68,4.38
1055299,379,87,4.36
1055300,108,25,4.32
1055301,217,50,4.34
1055302,108,25,4.32
1055303,210,50,4.2
1055304,381,96,3.97
1055305,127,32,3.97
1055306,102,25,4.08
1055307,572,143,4.0
1055308,89,22,4.05
1055309,25,6,4.17
1055310,788,197,4.0
1055311,1017,255,3.99
1055312,330,83,3.98
1056937,0,0,0.0
1056938,108,25,4.32
1056939,677,155,4.37
1056940,244,56,4.36
1056941,54,12,4.5
1056942,745,171,4.36
1056943,217,50,4.34
1056944,217,50,4.34
1056945,1068,245,4.36
1056946,330,83,3.98
1056947,762,191,3.99
1056948,25,6,4.17
1056949,775,194,3.99
1056950,445,111,4.01
1056951,229,57,4.02
1056952,788,197,4.0
1056953,585,146,4.01
1056954,407,102,3.99
1056955,203,51,3.98
1056956,0,0,0.0
1058579,0,0,0.0
1058580,0,0,0.0
1058581,0,0,0.0
1058582,108,25,4.32
1058583,0,0,0.0
1058584,0,0,0.0
1058585,920,211,4.36
1058586,704,161,4.37
1058587,595,136,4.38
1058588,280,70,4.0
1058589,928,233,3.98
1058590,1691,424,3.99
1058591,356,89,4.0
1058592,1118,280,3.99
1058593,788,197,4.0
1058594,1139,285,4.0
1058595,152,38,4.0
1058596,356,89,4.0
1058597,102,25,4.08
1058598,0,0,0.0
1060221,0,0,0.0
1060222,0,0,0.0
1060223,25,6,4.17
1060224,170,41,4.15
1060225,271,62,4.37
1060226,0,0,0.0
1060227,0,0,0.0
1060228,650,149,4.36
1060229,108,25,4.32
1060230,267,62,4.31
1060231,558,140,3.99
1060232,1192,299,3.99
1060233,203,51,3.98
1060234,457,115,3.97
1060235,699,175,3.99
1060236,546,137,3.99
1060237,25,6,4.17
1060238,25,6,4.17
1060239,147,35,4.2
1060240,167,39,4.28
1060241,0,0,0.0
1061863,0,0,0.0
1061864,130,32,4.06
1061865,102,25,4.08
1061866,356,89,4.0
1061867,461,114,4.04
1061868,51,13,3.92
1061869,0,0,0.0
1061870,0,0,0.0
1061871,325,74,4.39
1061872,108,25,4.32
1061873,751,188,3.99
1061874,534,134,3.99
1061875,203,51,3.98
1061876,813,204,3.99
1061877,801,201,3.99
1061878,496,124,4.0
1061879,51,13,3.92
1061880,102,25,4.08
1061881,51,13,3.92
1061882,806,187,4.31
1061883,446,103,4.33
1063505,0,0,0.0
1063506,0,0,0.0
1063507,0,0,0.0
1063508,203,51,3.98
1063509,686,172,3.99
1063510,25,6,4.17
1063511,0,0,0.0
1063512,51,13,3.92
1063513,662,157,4.22
1063514,533,129,4.13
1063515,712,178,4.0
1063516,203,51,3.98
1063517,483,121,3.99
1063518,1245,312,3.99
1063519,1550,389,3.98
1063520,483,121,3.99
1063521,229,57,4.02
1063522,330,83,3.98
1063523,102,25,4.08
1063524,102,25,4.08
1063525,1308,306,4.27
1063526,279,64,4.36
1065147,0,0,0.0
1065148,0,0,0.0
1065149,25,6,4.17
1065150,178,45,3.96
1065151,1195,299,4.0
1065152,0,0,0.0
1065153,0,0,0.0
1065154,305,76,4.01
1065155,330,83,3.98
1065156,661,166,3.98
1065157,254,64,3.97
1065158,483,121,3.99
1065159,877,220,3.99
1065160,1181,296,3.99
1065161,1055,264,4.0
1065162,546,137,3.99
1065163,597,150,3.98
1065164,724,182,3.98
1065165,813,204,3.99
1065166,1067,268,3.98
1065167,51,13,3.92
1065168,0,0,0.0
1066789,0,0,0.0
1066790,0,0,0.0
1066791,210,50,4.2
1066792,0,0,0.0
1066793,991,248,4.0
1066794,51,13,3.92
1066795,51,13,3.92
1066796,508,127,4.0
1066797,280,70,4.0
1066798,966,242,3.99
1066799,356,89,4.0
1066800,381,96,3.97
1066801,1992,499,3.99
1066802,3544,888,3.99
1066803,3314,830,3.99
1066804,699,175,3.99
1066805,496,124,4.0
1066806,318,80,3.98
1066807,254,64,3.97
1066808,51,13,3.92
1066809,0,0,0.0
1066810,0,0,0.0
1068431,0,0,0.0
1068432,1191,273,4.36
1068433,1133,261,4.34
1068434,102,25,4.08
1068435,152,38,4.0
1068436,203,51,3.98
1068437,518,130,3.98
1068438,356,89,4.0
1068439,1648,413,3.99
1068440,890,223,3.99
1068441,127,32,3.97
1068442,381,96,3.97
1068443,4053,1016,3.99
1068444,4864,1219,3.99
1068445,1625,407,3.99
1068446,330,83,3.98
1068447,330,83,3.98
1068448,1195,299,4.0
1068449,152,38,4.0
1068450,51,13,3.92
1068451,51,13,3.92
1068452,0,0,0.0
1068453,111,26,4.27
1070073,0,0,0.0
1070074,541,124,4.36
1070075,657,153,4.29
1070076,0,0,0.0
1070077,127,32,3.97
1070078,1193,299,3.99
1070079,3587,899,3.99
1070080,659,165,3.99
1070081,1017,255,3.99
1070082,1295,324,4.0
1070083,1248,313,3.99
1070084,1620,406,3.99
1070085,4430,1110,3.99
1070086,1835,460,3.99
1070087,330,83,3.98
1070088,127,32,3.97
1070089,788,197,4.0
1070090,203,51,3.98
1070091,152,38,4.0
1070092,76,19,4.0
1070093,0,0,0.0
1070094,0,0,0.0
1070095,56,13,4.31
1071715,189,41,4.61
1071716,267,62,4.31
1071717,51,13,3.92
1071718,51,13,3.92
1071719,51,13,3.92
1071720,1392,349,3.99
1071721,3290,824,3.99
1071722,4290,1075,3.99
1071723,5024,1259,3.99
1071724,4894,1226,3.99
1071725,5506,1380,3.99
1071726,4921,1233,3.99
1071727,3751,940,3.99
1071728,1309,328,3.99
1071729,788,197,4.0
1071730,788,197,4.0
1071731,381,96,3.97
1071732,356,89,4.0
1071733,229,57,4.02
1071734,254,64,3.97
1071735,51,13,3.92
1071736,0,0,0.0
1071737,56,13,4.31
1073357,378,82,4.61
1073358,0,0,0.0
1073359,178,45,3.96
1073360,76,19,4.0
1073361,51,13,3.92
1073362,0,0,0.0
1073363,298,75,3.97
1073364,4036,1011,3.99
1073365,7028,1761,3.99
1073366,5684,1424,3.99
1073367,6228,1561,3.99
1073368,2780,697,3.99
1073369,1017,255,3.99
1073370,762,191,3.99
1073371,432,108,4.0
1073372,534,134,3.99
1073373,915,229,4.0
1073374,356,89,4.0
1073375,1042,261,3.99
1073376,483,121,3.99
1073377,0,0,0.0
1073378,0,0,0.0
1073379,223,52,4.29
1074999,567,123,4.61
1075000,178,45,3.96
1075001,25,6,4.17
1075002,51,13,3.92
1075003,597,150,3.98
1075004,746,187,3.99
1075005,1353,339,3.99
1075006,4115,1031,3.99
1075007,6481,1624,3.99
1075008,5526,1385,3.99
1075009,3215,806,3.99
1075010,2569,644,3.99
1075011,0,0,0.0
1075012,356,89,4.0
1075013,152,38,4.0
1075014,102,25,4.08
1075015,254,64,3.97
1075016,51,13,3.92
1075017,585,146,4.01
1075018,356,89,4.0
1075019,127,32,3.97
1075020,76,19,4.0
1075021,0,0,0.0
1076641,0,0,0.0
1076642,76,19,4.0
1076643,127,32,3.97
1076644,102,25,4.08
1076645,648,162,4.0
1076646,2914,730,3.99
1076647,5130,1286,3.99
1076648,6535,1638,3.99
1076649,6160,1544,3.99
1076650,1096,275,3.99
1076651,801,201,3.99
1076652,358,90,3.98
1076653,229,57,4.02
1076654,76,19,4.0
1076655,152,38,4.0
1076656,152,38,4.0
1076657,51,13,3.92
1076658,203,51,3.98
1076659,203,51,3.98
1076660,1195,299,4.0
1076661,330,83,3.98
1076662,76,19,4.0
1076663,0,0,0.0
1078283,378,82,4.61
1078284,957,220,4.35
1078285,407,102,3.99
1078286,51,13,3.92
1078287,508,127,4.0
1078288,1728,433,3.99
1078289,5013,1256,3.99
1078290,6426,1610,3.99
1078291,4077,1022,3.99
1078292,508,127,4.0
1078293,559,140,3.99
1078294,102,25,4.08
1078295,102,25,4.08
1078296,254,64,3.97
1078297,508,127,4.0
1078298,305,76,4.01
1078299,610,153,3.99
1078300,0,0,0.0
1078301,51,13,3.92
1078302,508,127,4.0
1078303,127,32,3.97
1078304,25,6,4.17
1078305,0,0,0.0
1079925,1700,370,4.59
1079926,3143,685,4.59
1079927,318,80,3.98
1079928,165,41,4.02
1079929,940,236,3.98
1079930,407,102,3.99
1079931,1491,374,3.99
1079932,2076,520,3.99
1079933,3037,761,3.99
1079934,523,131,3.99
1079935,369,92,4.01
1079936,140,35,4.0
1079937,229,57,4.02
1079938,127,32,3.97
1079939,51,13,3.92
1079940,309,73,4.23
1079941,360,85,4.24
1079942,425,95,4.47
1079943,1308,295,4.43
1079944,203,51,3.98
1079945,1067,268,3.98
1079946,178,45,3.96
1079947,0,0,0.0
1081567,532,116,4.59
1081568,1268,284,4.46
1081569,1120,273,4.1
1081570,750,188,3.99
1081571,475,119,3.99
1081572,2562,642,3.99
1081573,1706,428,3.99
1081574,940,236,3.98
1081575,3062,767,3.99
1081576,739,185,3.99
1081577,241,61,3.95
1081578,724,182,3.98
1081579,559,140,3.99
1081580,0,0,0.0
1081581,172,40,4.3
1081582,380,87,4.37
1081583,304,68,4.47
1081584,486,109,4.46
1081585,972,218,4.46
1081586,1320,304,4.34
1081587,1672,387,4.32
1081588,873,199,4.39
1081589,0,0,0.0
1083209,152,38,4.0
1083210,203,51,3.98
1083211,483,121,3.99
1083212,745,187,3.98
1083213,3798,952,3.99
1083214,770,193,3.99
1083215,966,242,3.99
1083216,457,115,3.97
1083217,3273,820,3.99
1083218,559,140,3.99
1083219,711,178,3.99
1083220,813,204,3.99
1083221,356,89,4.0
1083222,102,25,4.08
1083223,152,38,4.0
1083224,294,67,4.39
1083225,243,54,4.5
1083226,486,109,4.46
1083227,364,82,4.44
1083228,486,109,4.46
1083229,364,82,4.44
