fid,Total Population,Total Households,Average Household Size
1022587,330,87,3.79
1022588,132,33,4.0
1022589,165,42,3.93
1022590,25,6,4.17
1024227,128,34,3.76
1024228,0,0,0.0
1024229,177,46,3.85
1024230,83,21,3.95
1024231,83,21,3.95
1024232,182,46,3.96
1025869,191,50,3.82
1025870,144,38,3.79
1025871,354,93,3.81
1025872,393,104,3.78
1025873,231,58,3.98
1025874,91,23,3.96
1025875,8,2,4.0
1025876,287,76,3.78
1025877,3086,820,3.76
1027510,173,44,3.93
1027511,411,108,3.81
1027512,287,76,3.78
1027513,479,127,3.77
1027514,359,95,3.78
1027515,80,21,3.81
1027516,144,38,3.79
1027517,9,2,4.5
1027518,1343,357,3.76
1027519,2440,648,3.77
1027520,1779,473,3.76
1027521,1322,351,3.77
1029152,339,85,3.99
1029153,116,29,4.0
1029154,384,102,3.76
1029155,431,114,3.78
1029156,215,57,3.77
1029157,215,57,3.77
1029158,933,248,3.76
1029159,502,133,3.77
1029160,1402,372,3.77
1029161,3158,839,3.76
1029162,1938,515,3.76
1029163,612,162,3.78
1029164,0,0,0.0
1030794,231,58,3.98
1030795,273,69,3.96
1030796,484,126,3.84
1030797,718,191,3.76
1030798,1292,343,3.77
1030799,1005,267,3.76
1030800,2225,591,3.76
1030801,3903,1037,3.76
1030802,7565,2010,3.76
1030803,6829,1814,3.76
1030804,1005,267,3.76
1030805,287,76,3.78
1030806,152,40,3.8
1030807,0,0,0.0
1030808,0,0,0.0
1032436,273,69,3.96
1032437,320,81,3.95
1032438,286,73,3.92
1032439,0,0,0.0
1032440,215,57,3.77
1032441,359,95,3.78
1032442,1938,515,3.76
1032443,4910,1305,3.76
1032444,10566,2807,3.76
1032445,10582,2812,3.76
1032446,1061,282,3.76
1032447,144,38,3.79
1032448,161,42,3.83
1032449,107,27,3.96
1032450,33,8,4.12
1034078,297,75,3.96
1034079,248,62,4.0
1034080,370,96,3.85
1034081,144,38,3.79
1034082,215,57,3.77
1034083,72,19,3.79
1034084,1077,286,3.77
1034085,2935,780,3.76
1034086,2727,725,3.76
1034087,3572,949,3.76
1034088,2962,787,3.76
1034089,646,172,3.76
1034090,225,59,3.81
1034091,212,54,3.93
1034092,173,44,3.93
1034093,107,27,3.96
1035720,266,67,3.97
1035721,314,79,3.97
1035722,473,122,3.88
1035723,40,11,3.64
1035724,287,76,3.78
1035725,861,229,3.76
1035726,789,210,3.76
1035727,1418,377,3.76
1035728,1724,458,3.76
1035729,861,229,3.76
1035730,454,121,3.75
1035731,1762,468,3.76
1035732,511,136,3.76
1035733,509,134,3.8
1035734,186,47,3.96
1035735,161,41,3.93
1037362,285,72,3.96
1037363,409,103,3.97
1037364,381,96,3.97
1037365,99,25,3.96
1037366,1148,305,3.76
1037367,1579,420,3.76
1037368,2153,572,3.76
1037369,2062,548,3.76
1037370,1860,494,3.77
1037371,574,153,3.75
1037372,1507,400,3.77
1037373,723,192,3.77
1037374,392,104,3.77
1037375,97,26,3.73
1037376,62,16,3.88
1037377,268,68,3.94
1039004,345,87,3.97
1039005,429,108,3.97
1039006,66,17,3.88
1039007,224,59,3.8
1039008,923,245,3.77
1039009,1364,362,3.77
1039010,1794,477,3.76
1039011,1359,361,3.76
1039012,872,232,3.76
1039013,502,133,3.77
1039014,1292,343,3.77
1039015,287,76,3.78
1039016,574,153,3.75
1039017,287,76,3.78
1039018,12,3,4.0
1040646,140,35,4.0
1040647,107,27,3.96
1040648,412,107,3.85
1040649,144,38,3.79
1040650,431,114,3.78
1040651,861,229,3.76
1040652,287,76,3.78
1040653,287,76,3.78
1040654,287,76,3.78
1040655,184,49,3.76
1040656,663,176,3.77
1040657,467,124,3.77
1040658,215,57,3.77
1040659,327,87,3.76
1040660,124,31,4.0
1042289,91,23,3.96
1042290,107,27,3.96
1042291,0,0,0.0
1042292,287,76,3.78
1042293,718,191,3.76
1042294,0,0,0.0
1042295,144,38,3.79
1042296,287,76,3.78
1042297,726,193,3.76
1042298,1752,466,3.76
1042299,467,124,3.77
1042300,160,42,3.81
1042301,273,72,3.79
1042302,396,100,3.96
1043931,99,25,3.96
1043932,165,42,3.93
1043933,144,38,3.79
1043934,202,54,3.74
1043935,72,19,3.79
1043936,144,38,3.79
1043937,0,0,0.0
1043938,316,82,3.85
1043939,289,73,3.96
1043940,1045,277,3.77
1043941,431,114,3.78
1043942,359,95,3.78
1043943,187,48,3.9
1043944,306,77,3.97
1045573,248,62,4.0
1045574,50,12,3.85
1045575,0,0,0.0
1045576,144,38,3.79
1045577,17,4,4.25
1045578,33,8,4.12
1045579,140,35,4.0
1045580,446,112,3.98
1045581,306,77,3.97
1045582,149,37,4.03
1045583,83,21,3.95
1045584,50,12,3.85
1045585,165,42,3.93
1047215,248,62,4.0
1047216,182,46,3.96
1047217,211,55,3.84
1047218,239,60,3.98
1047219,140,35,4.0
1047220,33,8,4.12
1047221,91,23,3.96
1047222,348,88,3.95
1047223,394,99,3.98
1047224,198,50,3.96
1047225,66,17,3.88
1047226,140,35,4.0
1048858,270,68,3.97
1048859,173,44,3.93
1048860,248,62,4.0
1048861,330,83,3.98
1048862,304,77,3.95
1048863,306,77,3.97
1048864,395,100,3.95
1048865,289,73,3.96
1048866,190,48,3.96
1048867,190,48,3.96
1050500,116,29,4.0
1050501,264,67,3.94
1050502,293,74,3.96
1050503,211,53,3.98
1050504,277,70,3.96
