fid,Total Population,Total Households,Average Household Size
807547,296,94,3.15
807548,89,25,3.56
807549,0,0,0.0
807550,357,99,3.61
807551,134,37,3.62
807552,223,62,3.6
807553,1054,292,3.61
807554,1679,465,3.61
807555,1026,284,3.61
807556,5537,1534,3.61
807557,2839,787,3.61
807558,45,12,3.75
807559,89,25,3.56
807560,89,25,3.56
807561,79,20,3.95
807562,907,230,3.94
807563,5481,1389,3.95
807564,7401,1875,3.95
809189,474,150,3.16
809190,45,12,3.75
809191,357,99,3.61
809192,446,124,3.6
809193,312,86,3.63
809194,910,252,3.61
809195,1885,522,3.61
809196,951,264,3.6
809197,1202,333,3.61
809198,4473,1239,3.61
809199,7468,2069,3.61
809200,1424,395,3.61
809201,45,12,3.75
809202,0,0,0.0
809203,75,19,3.95
809204,4845,1228,3.95
809205,7070,1792,3.95
809206,6786,1720,3.95
810831,59,19,3.11
810832,527,147,3.59
810833,45,12,3.75
810834,0,0,0.0
810835,322,90,3.58
810836,1070,296,3.61
810837,1207,334,3.61
810838,691,191,3.62
810839,738,204,3.62
810840,3249,900,3.61
810841,7677,2127,3.61
810842,7279,2017,3.61
810843,3307,916,3.61
810844,0,0,0.0
810845,624,168,3.71
810846,1636,417,3.92
810847,6531,1655,3.95
810848,6263,1587,3.95
812473,250,79,3.16
812474,59,19,3.11
812475,0,0,0.0
812476,0,0,0.0
812477,89,25,3.56
812478,178,49,3.63
812479,475,132,3.6
812480,1466,406,3.61
812481,1008,279,3.61
812482,1003,278,3.61
812483,4163,1153,3.61
812484,6474,1794,3.61
812485,2919,809,3.61
812486,148,41,3.61
812487,89,25,3.56
812488,284,75,3.79
812489,4795,1215,3.95
812490,7129,1807,3.95
814115,129,39,3.31
814116,209,63,3.32
814117,257,77,3.34
814118,465,140,3.32
814119,45,12,3.75
814120,45,12,3.75
814121,89,25,3.56
814122,880,244,3.61
814123,1944,539,3.61
814124,723,200,3.62
814125,89,25,3.56
814126,89,25,3.56
814127,221,61,3.62
814128,164,45,3.64
814129,223,62,3.6
814130,0,0,0.0
814131,2076,526,3.95
814132,6294,1595,3.95
815757,233,73,3.19
815758,394,118,3.34
815759,667,201,3.32
815760,166,50,3.32
815761,381,115,3.31
815762,431,130,3.32
815763,43,13,3.31
815764,403,120,3.36
815765,867,240,3.61
815766,19,5,3.8
815767,89,25,3.56
815768,270,75,3.6
815769,0,0,0.0
815770,0,0,0.0
815771,372,103,3.61
815772,359,94,3.82
815773,754,191,3.95
815774,6310,1599,3.95
817399,1260,399,3.16
817400,761,233,3.27
817401,830,250,3.32
817402,840,253,3.32
817403,496,149,3.33
817404,444,134,3.31
817405,1285,387,3.32
817406,351,106,3.31
817407,794,228,3.48
817408,125,35,3.57
817409,446,124,3.6
817410,178,49,3.63
817411,134,37,3.62
817412,223,62,3.6
817413,422,117,3.61
817414,0,0,0.0
817415,2971,753,3.95
817416,7616,1930,3.95
819041,1114,353,3.16
819042,1234,379,3.26
819043,1247,375,3.33
819044,1205,362,3.33
819045,1006,303,3.32
819046,1617,486,3.33
819047,4019,1209,3.32
819048,2004,603,3.32
819049,1198,333,3.6
819050,880,244,3.61
819051,1389,385,3.61
819052,386,107,3.61
819053,491,136,3.61
819054,435,121,3.6
819055,670,186,3.6
819056,791,203,3.9
819057,5792,1468,3.95
819058,5640,1446,3.9
820683,2360,715,3.3
820684,2854,858,3.33
820685,2311,695,3.33
820686,1402,422,3.32
820687,816,245,3.33
820688,2102,632,3.33
820689,4207,1265,3.33
820690,4602,1384,3.33
820691,4045,1215,3.33
820692,1932,580,3.33
820693,1240,365,3.4
820694,1330,395,3.37
