fid,Total Population,Total Households,Average Household Size
643457,582,149,3.91
643458,224,57,3.93
645098,45,11,4.09
645099,224,57,3.93
645100,0,0,0.0
645101,358,92,3.89
646739,0,0,0.0
646740,1421,364,3.9
646741,419,108,3.88
646742,134,34,3.94
646743,448,115,3.9
648381,637,163,3.91
648382,5195,1332,3.9
648383,3500,897,3.9
648384,134,34,3.94
648385,269,69,3.9
650023,4032,1033,3.9
650024,7100,1820,3.9
650025,1273,326,3.9
650026,537,138,3.89
650027,627,161,3.89
651665,2934,752,3.9
651666,7798,1999,3.9
651667,5057,1296,3.9
651668,627,161,3.89
651669,992,254,3.91
651670,924,237,3.9
653308,5291,1356,3.9
653309,8937,2291,3.9
653310,5465,1401,3.9
653311,557,143,3.9
653312,336,86,3.91
653313,3751,962,3.9
654951,7893,2023,3.9
654952,3223,826,3.9
654953,1348,346,3.9
654954,3565,914,3.9
654955,9271,2360,3.93
654956,10271,2557,4.02
654957,10758,2655,4.05
656593,571,146,3.91
656594,5492,1408,3.9
656595,4270,1095,3.9
656596,7586,1942,3.91
656597,13107,3235,4.05
656598,11670,2876,4.06
656599,12542,3091,4.06
656600,11714,2887,4.06
656601,8299,2097,3.96
658236,2621,672,3.9
658237,8348,2140,3.9
658238,9299,2345,3.97
658239,12406,3058,4.06
658240,11189,2758,4.06
658241,11661,2874,4.06
658242,12107,2984,4.06
658243,3775,936,4.03
658244,1880,481,3.91
659877,0,0,0.0
659878,111,28,3.96
659879,5589,1415,3.95
659880,13006,3218,4.04
659881,13855,3415,4.06
659882,14731,3631,4.06
659883,12739,3147,4.05
659884,6771,1679,4.03
659885,2356,601,3.92
659886,1148,293,3.92
659887,0,0,0.0
659888,209,53,3.94
661519,665,165,4.03
661520,413,102,4.05
661521,1469,362,4.06
661522,7444,1835,4.06
661523,15931,3926,4.06
661524,14264,3515,4.06
661525,7500,1877,4.0
661526,5032,1286,3.91
661527,3618,925,3.91
661528,279,71,3.93
661529,0,0,0.0
661530,209,53,3.94
663161,0,0,0.0
663162,2144,531,4.04
663163,0,0,0.0
663164,5851,1442,4.06
663165,5818,1434,4.06
663166,5515,1365,4.04
663167,5993,1528,3.92
663168,6855,1752,3.91
663169,6932,1772,3.91
663170,521,133,3.92
663171,1029,263,3.91
663172,209,53,3.94
663173,0,0,0.0
664803,4585,1173,3.91
664804,5235,1340,3.91
664805,12838,3306,3.88
664806,411,106,3.88
664807,236,58,4.07
664808,0,0,0.0
664809,2195,561,3.91
664810,209,53,3.94
664811,6405,1637,3.91
664812,4010,1025,3.91
664813,417,107,3.9
664814,626,160,3.91
664815,0,0,0.0
666445,822,212,3.88
666446,2487,641,3.88
666447,1644,424,3.88
666448,1233,318,3.88
666449,0,0,0.0
666450,1037,266,3.9
666451,0,0,0.0
666452,2033,520,3.91
666453,4453,1138,3.91
666454,3802,972,3.91
666455,1815,464,3.91
666456,0,0,0.0
666457,1043,266,3.92
668087,1233,318,3.88
668088,9202,2373,3.88
668089,205,53,3.87
668090,0,0,0.0
668091,1233,318,3.88
668092,411,106,3.88
668093,0,0,0.0
668094,0,0,0.0
668095,104,27,3.85
668096,938,240,3.91
668097,2720,695,3.91
668098,1460,373,3.91
668099,0,0,0.0
669729,411,106,3.88
669730,10985,2833,3.88
669731,4874,1257,3.88
669732,4266,1100,3.88
669734,378,98,3.86
669735,0,0,0.0
669736,0,0,0.0
669737,0,0,0.0
669738,0,0,0.0
669739,1227,313,3.92
669740,1057,270,3.91
669741,3679,916,4.02
671378,0,0,0.0
671379,0,0,0.0
671380,0,0,0.0
671381,0,0,0.0
671382,533,136,3.92
671383,3662,910,4.02
673022,0,0,0.0
673023,0,0,0.0
