fid,Total Population,Total Households,Average Household Size
1082823,187,48,3.9
1082824,187,48,3.9
1082825,269,69,3.9
1082826,0,0,0.0
1084463,298,79,3.77
1084464,213,57,3.74
1084465,168,43,3.91
1084466,922,235,3.92
1084467,4081,1042,3.92
1084468,187,48,3.9
1086105,597,158,3.78
1086106,128,34,3.76
1086107,471,123,3.83
1086108,3369,860,3.92
1086109,4093,1045,3.92
1086110,4307,1099,3.92
1087747,5700,1512,3.77
1087748,2761,732,3.77
1087749,1665,438,3.8
1087750,7331,1924,3.81
1087751,1751,449,3.9
1087752,5169,1346,3.84
1089389,1646,437,3.77
1089390,2561,680,3.77
1089391,4507,1196,3.77
1089392,3584,951,3.77
1089393,4918,1298,3.79
1089394,5702,1513,3.77
1089395,2014,534,3.77
1089396,0,0,0.0
1089397,643,164,3.92
1091033,2587,686,3.77
1091034,7808,2071,3.77
1091035,5357,1421,3.77
1091036,5811,1542,3.77
1091037,5457,1448,3.77
1091038,1341,356,3.77
1091039,0,0,0.0
1092675,0,0,0.0
1092676,943,250,3.77
1092677,3862,1025,3.77
1092678,6114,1622,3.77
1092679,8531,2263,3.77
1092680,6538,1734,3.77
1092681,1108,294,3.77
1092683,298,79,3.77
1092684,234,60,3.9
1094318,0,0,0.0
1094319,490,130,3.77
1094320,4883,1295,3.77
1094321,5508,1461,3.77
1094322,6737,1787,3.77
1094323,2430,645,3.77
1094324,1551,412,3.76
1094325,639,170,3.76
1094326,187,48,3.9
1095961,0,0,0.0
1095962,1662,441,3.77
1095963,5422,1439,3.77
1095964,2127,564,3.77
1095965,2763,733,3.77
1095966,1511,401,3.77
1095967,343,91,3.77
1095968,0,0,0.0
1097604,43,11,3.91
1097605,9923,2531,3.92
1097606,6912,1818,3.8
1097607,8360,2206,3.79
1097608,7078,1849,3.83
1097609,2555,662,3.86
1097610,185,48,3.85
1099246,0,0,0.0
1099247,8917,2219,4.02
1099248,20538,5116,4.01
1099249,18941,4769,3.97
1099250,12744,3244,3.93
1099251,4615,1193,3.87
1099252,1331,344,3.87
1099253,139,36,3.86
1099254,1224,317,3.86
1099255,1143,296,3.86
1099256,649,168,3.86
1099257,561,143,3.92
1100888,0,0,0.0
1100889,3894,969,4.02
1100890,22146,5513,4.02
1100891,17252,4296,4.02
1100892,6498,1618,4.02
1100893,11210,2800,4.0
1100894,8987,2257,3.98
1100895,3409,872,3.91
1100896,2285,591,3.87
1100897,1842,477,3.86
1100898,1747,448,3.9
1100899,218,56,3.89
1102530,0,0,0.0
1102531,3670,913,4.02
1102532,20795,5176,4.02
1102533,3343,837,3.99
1102534,2403,601,4.0
1102535,2577,645,4.0
1102536,1657,415,3.99
1102537,3102,796,3.9
1102538,9418,2437,3.86
1102539,4858,1257,3.86
1102540,5320,1358,3.92
1102541,2441,623,3.92
1104170,0,0,0.0
1104171,0,0,0.0
1104172,139,35,3.97
1104173,12301,3067,4.01
1104174,18475,4599,4.02
1104175,16136,4023,4.01
1104176,12939,3237,4.0
1104177,10402,2606,3.99
1104178,5601,1443,3.88
1104179,7808,2012,3.88
1104180,9708,2512,3.86
1104181,3332,855,3.9
1104182,9036,2311,3.91
1104183,5492,1406,3.91
1104184,4056,1040,3.9
1105812,0,0,0.0
1105813,2300,576,3.99
1105814,13953,3492,4.0
1105815,16292,4076,4.0
1105816,17855,4461,4.0
1105817,17720,4429,4.0
1105818,13457,3368,4.0
1105819,17173,4298,4.0
1105820,14279,3594,3.97
1105821,7190,1852,3.88
1105822,2151,556,3.87
1105823,6440,1664,3.87
1105824,5610,1452,3.86
1105825,1464,379,3.86
1105826,1628,421,3.87
1107453,0,0,0.0
1107454,343,81,4.23
1107455,3021,711,4.25
1107456,5796,1436,4.04
1107457,10159,2523,4.03
1107458,9796,2445,4.01
1107459,6756,1687,4.0
1107460,6780,1694,4.0
1107461,8976,2246,4.0
1107462,16200,4054,4.0
1107463,3098,784,3.95
1107464,1096,284,3.86
1107465,647,167,3.87
1107466,1052,272,3.87
1107467,306,81,3.78
1107468,1189,313,3.8
1109093,0,0,0.0
1109094,30,7,4.29
1109095,59,14,4.21
1109096,931,219,4.25
1109097,10008,2353,4.25
1109098,12758,3000,4.25
1109099,12762,3001,4.25
1109100,12668,2979,4.25
1109101,11253,2646,4.25
1109102,5594,1378,4.06
1109103,1911,496,3.85
1109104,3816,962,3.97
1109105,376,98,3.84
1109106,949,246,3.86
1109107,303,80,3.79
1109108,1088,287,3.79
1109109,1701,448,3.8
1109110,1611,424,3.8
1110735,0,0,0.0
1110736,164,39,4.21
1110737,4083,960,4.25
1110738,7172,1686,4.25
1110739,12453,2928,4.25
1110740,11824,2780,4.25
1110741,4458,1048,4.25
1110742,9334,2195,4.25
1110743,12122,2854,4.25
1110744,7380,1929,3.83
1110745,8093,2131,3.8
1110746,5856,1542,3.8
1110747,4848,1276,3.8
1110748,148,39,3.79
1110749,676,178,3.8
1110750,1576,415,3.8
1110751,4227,1113,3.8
1110752,560,147,3.81
1110755,929,248,3.75
1110756,439,117,3.75
1112379,1272,299,4.25
1112380,9572,2251,4.25
1112381,6456,1518,4.25
1112382,1270,299,4.25
1112383,0,0,0.0
1112384,0,0,0.0
1112385,15,4,3.75
1112386,660,174,3.79
1112387,1616,425,3.8
1112388,1805,475,3.8
1112389,3344,880,3.8
1112390,4824,1270,3.8
1112391,2438,642,3.8
1112392,575,151,3.81
1112393,1564,412,3.8
1112394,1694,446,3.8
1112395,1640,436,3.76
1112396,1405,375,3.75
1112397,1046,279,3.75
1112398,1160,309,3.75
1114029,0,0,0.0
1114030,0,0,0.0
1114031,115,30,3.83
1114032,898,236,3.81
1114033,1897,499,3.8
1114034,1873,493,3.8
1114035,1522,401,3.8
1114036,766,202,3.79
1114037,1028,271,3.79
1114038,1334,355,3.76
1114039,1312,350,3.75
1114040,1190,317,3.75
1115674,0,0,0.0
1115675,235,62,3.79
1115676,971,256,3.79
1115677,1602,422,3.8
1115678,1625,428,3.8
1115679,133,35,3.8
1115680,365,97,3.76
1115681,693,185,3.75
1115682,1210,323,3.75
1117318,0,0,0.0
1117319,62,16,3.88
1117320,343,90,3.81
1117321,251,66,3.8
1117322,713,189,3.77
1117323,873,233,3.75
1117324,479,128,3.74
1118962,0,0,0.0
1118963,29,8,3.62
1118964,511,135,3.79
1118965,909,243,3.74
1118966,163,43,3.79
1120605,0,0,0.0
1120606,0,0,0.0
1120607,633,169,3.75
1120608,875,233,3.76
