fid,Total Population,Total Households,Average Household Size
843675,1776,520,3.42
843676,398,104,3.83
843677,129,39,3.31
843678,355,106,3.35
843679,173,52,3.33
845316,299,89,3.36
845317,1253,329,3.81
845318,2354,617,3.82
845319,1558,409,3.81
845320,243,64,3.8
845321,32,10,3.2
845322,314,87,3.61
845323,2020,555,3.64
846958,245,65,3.77
846959,779,204,3.82
846960,1558,409,3.81
846961,1700,446,3.81
846962,400,105,3.81
846963,1574,418,3.77
846964,1297,357,3.63
846965,1117,307,3.64
846966,1057,291,3.63
848600,779,204,3.82
848601,1039,273,3.81
848602,1629,427,3.81
848603,1200,315,3.81
848604,769,204,3.77
848605,2814,770,3.65
848606,3516,967,3.64
848607,2038,560,3.64
848608,5441,1496,3.64
850242,354,93,3.81
850243,71,19,3.74
850244,230,60,3.83
850245,1071,282,3.8
850246,1216,333,3.65
850247,3555,978,3.63
850248,3778,1039,3.64
850249,3599,990,3.64
850250,11993,3298,3.64
851884,0,0,0.0
851885,877,230,3.81
851886,2882,756,3.81
851887,1301,342,3.8
851888,1598,439,3.64
851889,4280,1177,3.64
851890,4050,1114,3.64
851891,4925,1354,3.64
851892,11848,3258,3.64
851893,8006,2201,3.64
851894,3258,896,3.64
853526,1062,279,3.81
853527,1204,316,3.81
853528,746,196,3.81
853529,1478,400,3.69
853530,5557,1528,3.64
853531,5744,1579,3.64
853532,9281,2552,3.64
853533,9602,2640,3.64
853534,5426,1492,3.64
853535,1814,499,3.64
853536,3216,884,3.64
853537,789,217,3.64
855168,814,213,3.82
855169,2225,583,3.82
855170,1337,350,3.82
855171,5209,1419,3.67
855172,9445,2597,3.64
855173,9901,2722,3.64
855174,11333,3116,3.64
855175,10047,2762,3.64
855176,2451,674,3.64
855177,866,238,3.64
855178,813,223,3.65
855179,2316,637,3.64
855180,3293,905,3.64
855181,5435,1496,3.63
855182,3796,1073,3.54
856810,1345,353,3.81
856811,1310,344,3.81
856812,3773,1011,3.73
856813,10186,2785,3.66
856814,10870,2989,3.64
856815,10778,2963,3.64
856816,10999,3024,3.64
856817,12353,3397,3.64
856818,6670,1834,3.64
856819,5045,1387,3.64
856820,9540,2623,3.64
856821,9785,2690,3.64
856822,9549,2626,3.64
856823,11714,3221,3.64
856824,10020,2755,3.64
856825,3741,1029,3.64
858452,0,0,0.0
858453,531,139,3.82
858454,5365,1460,3.67
858455,10092,2775,3.64
858456,10308,2834,3.64
858457,10452,2874,3.64
858458,9910,2725,3.64
858459,10681,2937,3.64
858460,11659,3206,3.64
858461,10245,2817,3.64
858462,10174,2798,3.64
858463,9144,2514,3.64
858464,9210,2532,3.64
858465,5713,1571,3.64
858466,4053,1114,3.64
858467,1938,533,3.64
860094,183,50,3.66
860095,712,187,3.81
860096,7713,2058,3.75
860097,10297,2831,3.64
860098,10198,2804,3.64
860099,11185,3075,3.64
860100,11537,3172,3.64
860101,9454,2600,3.64
860102,11052,3039,3.64
860103,11559,3178,3.64
860104,8806,2421,3.64
860105,8994,2473,3.64
860106,8667,2383,3.64
860107,1057,291,3.63
860108,2979,819,3.64
860109,1384,381,3.63
861736,834,226,3.69
861737,631,165,3.82
861738,5728,1564,3.66
861739,11346,3120,3.64
861740,11408,3137,3.64
861741,11254,3094,3.64
861742,11550,3176,3.64
861743,10283,2827,3.64
861744,9227,2537,3.64
861745,11672,3209,3.64
861746,8400,2310,3.64
861747,7364,2025,3.64
861748,6219,1710,3.64
861749,1961,539,3.64
861750,2686,739,3.63
861751,389,107,3.64
863378,1017,267,3.81
863379,1010,265,3.81
863380,1952,524,3.73
863381,7759,2133,3.64
863382,9662,2657,3.64
863383,9912,2725,3.64
863384,11388,3131,3.64
863385,6199,1704,3.64
863386,3856,1060,3.64
863387,3402,935,3.64
863388,1489,409,3.64
863389,764,210,3.64
863390,2889,794,3.64
863391,2753,757,3.64
863392,2272,625,3.64
863393,471,129,3.65
865020,811,213,3.81
865021,169,44,3.84
865022,1189,313,3.8
865023,1398,383,3.65
865024,9389,2582,3.64
865025,9740,2678,3.64
865026,10593,2913,3.64
865027,5978,1644,3.64
865028,705,194,3.63
865029,676,186,3.64
865030,828,228,3.63
865031,621,171,3.63
865032,1259,346,3.64
865033,1397,384,3.64
865034,2924,804,3.64
865035,873,240,3.64
866663,142,37,3.84
866664,549,144,3.81
866665,1607,425,3.78
866666,8520,2282,3.73
866667,10438,2869,3.64
866668,12115,3331,3.64
866669,10832,2978,3.64
866670,1231,338,3.64
866671,691,190,3.64
866672,592,163,3.63
866673,719,198,3.63
866674,1394,383,3.64
866675,1584,436,3.63
866676,2447,673,3.64
866677,1767,486,3.64
868305,389,102,3.81
868306,319,84,3.8
868307,649,164,3.96
868308,5214,1340,3.89
868309,8537,2274,3.75
868310,11164,3027,3.69
868311,9113,2495,3.65
868312,1078,296,3.64
868313,985,271,3.63
868314,355,98,3.62
868315,691,190,3.64
868316,1617,445,3.63
868317,1145,315,3.63
868318,1618,445,3.64
868319,889,245,3.63
869949,365,93,3.92
869950,629,157,4.01
869951,5117,1304,3.92
869952,7007,1754,3.99
869953,6326,1725,3.67
869954,1945,535,3.64
869955,888,244,3.64
869956,131,36,3.64
869957,1559,429,3.63
869958,547,150,3.65
869959,1208,332,3.64
869960,393,108,3.64
871592,3407,853,3.99
871593,6631,1660,3.99
871594,7263,1818,4.0
871595,8173,2176,3.76
871596,3829,996,3.84
871597,1388,363,3.82
871598,839,231,3.63
871599,662,182,3.64
871600,1228,338,3.63
871601,566,156,3.63
871602,897,247,3.64
873235,5909,1479,4.0
873236,6132,1535,3.99
873237,7233,1810,4.0
873238,6359,1592,3.99
873239,1229,309,3.98
873240,612,162,3.78
873241,379,104,3.64
873242,720,198,3.64
873243,0,0,0.0
874878,6483,1623,3.99
874879,7225,1808,4.0
874880,5012,1255,3.99
874881,820,205,4.0
874882,1038,279,3.72
874883,958,263,3.64
874884,694,191,3.63
874885,789,217,3.64
876521,5983,1498,3.99
876522,4305,1078,3.99
876523,738,185,3.99
876524,261,68,3.84
876525,764,210,3.64
876526,493,136,3.62
878163,1816,455,3.99
878164,1738,435,4.0
878165,559,140,3.99
878166,1456,368,3.96
