fid,Total Population,Total Households,Average Household Size
816260,9240,2631,3.51
816261,4364,1236,3.53
816262,3233,914,3.54
816263,1991,563,3.54
816264,2920,825,3.54
816265,2662,759,3.51
816266,5802,1681,3.45
816267,1920,556,3.45
816268,3801,1102,3.45
816269,1872,543,3.45
817902,2446,697,3.51
817903,5271,1495,3.53
817904,4018,1136,3.54
817905,1187,336,3.53
817906,2550,721,3.54
817907,2972,860,3.46
817908,7629,2211,3.45
817909,4964,1439,3.45
817910,2085,604,3.45
817911,947,275,3.44
819544,7836,2232,3.51
819545,8651,2461,3.52
819546,5664,1601,3.54
819547,6227,1767,3.52
819548,3763,1090,3.45
819549,2454,710,3.46
819550,6194,1795,3.45
819551,1784,517,3.45
819552,1983,578,3.43
819553,2575,760,3.39
821186,6413,1826,3.51
821187,9588,2730,3.51
821188,9278,2642,3.51
821189,19110,5461,3.5
821190,12471,3592,3.47
821191,7812,2264,3.45
821192,3016,874,3.45
821193,1310,385,3.4
821194,1662,492,3.38
821195,3114,923,3.37
822828,6921,1931,3.58
822829,9638,2745,3.51
822830,14949,4271,3.5
822831,21554,6166,3.5
822832,19994,5720,3.5
822833,14559,4171,3.49
822834,3006,864,3.48
822835,201,59,3.41
822836,684,203,3.37
822837,1437,426,3.37
824470,1222,335,3.65
824471,10644,3046,3.49
824472,15455,4426,3.49
824473,21456,6138,3.5
824474,19453,5565,3.5
824475,18973,5427,3.5
824476,6199,1773,3.5
824477,80,24,3.33
824478,1891,560,3.38
824479,2208,654,3.38
826112,1663,485,3.43
826113,13982,4052,3.45
826114,14887,4331,3.44
826115,19742,5691,3.47
826116,20209,5788,3.49
826117,19647,5620,3.5
826118,3943,1128,3.5
826119,639,189,3.38
826120,1581,468,3.38
826121,1084,321,3.38
827754,8686,2531,3.43
827755,14646,4268,3.43
827756,13196,3845,3.43
827757,14159,4126,3.43
827758,13639,3968,3.44
827759,9548,2766,3.45
827760,3841,1136,3.38
827761,2877,852,3.38
827762,2677,793,3.38
827763,1986,588,3.38
829396,12097,3525,3.43
829397,14279,4161,3.43
829398,11889,3462,3.43
829399,11383,3307,3.44
829400,6405,1841,3.48
829401,5410,1541,3.51
829402,2063,594,3.47
829403,225,66,3.41
829404,1386,410,3.38
829405,1282,380,3.37
831038,4932,1437,3.43
831039,11962,3473,3.44
831040,7815,2252,3.47
831041,5572,1587,3.51
831042,5282,1504,3.51
831043,5177,1475,3.51
831044,2535,722,3.51
831045,1249,356,3.51
831046,263,76,3.46
831047,1577,467,3.38
832680,0,0,0.0
832681,2002,571,3.51
832682,4751,1353,3.51
832683,4760,1356,3.51
832684,4356,1241,3.51
832685,3806,1084,3.51
832686,2105,600,3.51
832687,415,118,3.52
832688,341,97,3.52
832689,279,83,3.36
834322,0,0,0.0
834323,570,162,3.52
834324,3201,912,3.51
834325,4668,1330,3.51
834326,4250,1211,3.51
834327,4452,1268,3.51
834328,1710,487,3.51
834329,1321,376,3.51
834330,599,171,3.5
834331,43,12,3.58
835967,3905,1112,3.51
835968,1770,504,3.51
835969,1491,425,3.51
835970,1961,559,3.51
835971,1402,399,3.51
835972,810,231,3.51
