fid,Total Population,Total Households,Average Household Size
643830,150,40,3.75
643831,901,238,3.79
643832,1778,470,3.78
643833,901,238,3.79
643834,1651,437,3.78
643835,150,40,3.75
645468,6539,1652,3.96
645469,3336,882,3.78
645470,3755,993,3.78
645471,2552,675,3.78
645472,751,198,3.79
645473,1126,298,3.78
645474,3140,831,3.78
645475,1651,437,3.78
645476,2026,536,3.78
645477,2064,546,3.78
645478,1238,328,3.77
645479,600,159,3.77
645480,851,217,3.92
647108,1924,481,4
647109,2245,562,3.99
647110,7017,1838,3.82
647111,4695,1242,3.78
647112,1270,336,3.78
647113,2552,675,3.78
647114,0,0,0
647115,782,207,3.78
647116,1248,330,3.78
647117,450,119,3.78
647118,5139,1359,3.78
647119,2664,705,3.78
647120,1614,427,3.78
647121,1126,298,3.78
647122,206,53,3.89
647123,393,100,3.93
647124,728,178,4.09
648749,1042,261,3.99
648750,1203,301,4
648751,641,160,3.98
648752,2703,714,3.79
648753,6074,1606,3.78
648754,1414,374,3.78
648755,1651,437,3.78
648756,1117,295,3.79
648757,225,60,3.75
648758,6391,1690,3.78
648759,5507,1456,3.78
648760,5522,1460,3.78
648761,751,198,3.79
648762,1576,417,3.78
648763,75,20,3.75
648764,751,198,3.79
648765,600,159,3.77
648766,197,49,4.02
648767,1347,343,3.93
648768,1138,291,3.91
650390,12243,3063,4
650391,2358,686,3.44
650392,1939,586,3.31
650393,498,155,3.21
650394,6383,1984,3.22
650395,3342,928,3.6
650396,6155,1722,3.57
650397,2482,681,3.64
650398,3670,971,3.78
650399,901,238,3.79
650400,608,161,3.78
650401,6395,1691,3.78
650402,3769,997,3.78
650403,3808,1007,3.78
650404,4555,1201,3.79
650405,3697,978,3.78
650406,754,200,3.77
650407,972,256,3.8
650408,2157,555,3.89
650409,1423,363,3.92
650410,1992,509,3.91
650411,2276,581,3.92
652031,4538,1174,3.87
652032,2170,593,3.66
652033,4579,1423,3.22
652034,3110,966,3.22
652035,995,309,3.22
652036,1368,425,3.22
652037,3236,1006,3.22
652038,9366,2911,3.22
652039,6034,1873,3.22
652040,4713,1324,3.56
652041,3751,1062,3.53
652042,3230,923,3.5
652043,3187,989,3.22
652044,4615,1266,3.65
652045,2935,775,3.79
652046,3228,827,3.9
652047,3729,984,3.79
652048,604,160,3.77
652049,782,200,3.91
652050,4125,1054,3.91
652051,2010,513,3.92
652052,1067,272,3.92
652053,1423,363,3.92
652054,1067,272,3.92
653672,2616,728,3.59
653673,361,100,3.61
653674,970,273,3.55
653675,1366,425,3.21
653676,3784,1176,3.22
653677,2819,876,3.22
653678,1410,438,3.22
653679,1493,464,3.22
653680,4578,1423,3.22
653681,13043,4054,3.22
653682,3517,1093,3.22
653683,1897,590,3.22
653684,2046,636,3.22
653685,4894,1521,3.22
653686,4100,1274,3.22
653687,4436,1373,3.23
653688,2553,652,3.92
653689,5392,1382,3.9
653690,2703,690,3.92
653691,6982,1784,3.91
653692,3620,924,3.92
653693,3678,939,3.92
653694,71,18,3.94
653695,0,0,0
653696,356,91,3.91
653697,71,18,3.94
655313,785,203,3.87
655314,1579,439,3.6
655315,1448,403,3.59
655316,406,113,3.59
655317,0,0,0
655318,3107,966,3.22
655319,2483,772,3.22
655320,249,77,3.23
655321,415,129,3.22
655322,2239,696,3.22
655323,11012,3422,3.22
655324,6326,1966,3.22
655325,1445,449,3.22
655326,1593,495,3.22
655327,4882,1517,3.22
655328,2505,778,3.22
655329,4774,1484,3.22
655330,2597,723,3.59
655331,4024,1028,3.91
655332,11100,2835,3.92
655333,4342,1109,3.92
