name                         ,long       ,lat
261 Nguyễn Văn Cừ            ,105.769068 ,10.047171
429 Đường 30/4 Vũng Tàu      ,107.110061 ,10.397457
HN 378 Nguyễn Trãi           ,105.806622 ,20.993752
123 Ca Mau                   ,105.146053 ,9.168730
Vua nệm Cái Dăm              ,107.023146 ,20.957627
Vua Nệm 25/4                 ,107.084307 ,20.952090
Giải Phóng                   ,105.841424 ,21.004728
Bà Rịa 3-5 Nguyễn Hữu Thọ    ,107.173559 , 10.489892
HCM - 199 NCT                ,106.661808 , 10.758263
Tiền Giang Nam Kỳ Khởi Nghĩa ,106.362380 , 10.360730 
