fid,Total Population,Total Households,Average Household Size
1272096,2365,583,4.06
1272097,734,179,4.1
1272098,0,0,0.0
1273736,1355,330,4.11
1273737,1739,429,4.05
1273738,2171,539,4.03
1273739,604,150,4.03
1273740,0,0,0.0
1273741,0,0,0.0
1275377,778,193,4.03
1275378,3324,822,4.04
1275379,2937,728,4.03
1275380,2736,679,4.03
1275381,499,124,4.02
1275382,0,0,0.0
1275383,0,0,0.0
1275384,0,0,0.0
1277018,2903,720,4.03
1277019,425,105,4.05
1277020,2826,701,4.03
1277021,3141,779,4.03
1277022,2549,632,4.03
1277023,1116,277,4.03
1277024,463,115,4.03
1277025,1404,348,4.03
1277026,1573,390,4.03
1277027,1252,311,4.03
1278660,340,84,4.05
1278661,878,218,4.03
1278662,3104,770,4.03
1278663,3428,851,4.03
1278664,2958,734,4.03
1278665,2126,527,4.03
1278666,844,210,4.02
1278667,421,105,4.01
1278668,117,29,4.03
1278669,916,227,4.04
1280301,737,183,4.03
1280302,1015,252,4.03
1280303,608,151,4.03
1280304,2879,714,4.03
1280305,5494,1363,4.03
1280306,7096,1761,4.03
1280307,450,112,4.02
1280308,1422,353,4.03
1280309,573,142,4.04
1280310,99,24,4.12
1280311,0,0,0.0
1281943,1351,335,4.03
1281944,2755,684,4.03
1281945,1878,466,4.03
1281946,2046,508,4.03
1281947,2757,684,4.03
1281948,9029,2240,4.03
1281949,5014,1244,4.03
1281950,5861,1454,4.03
1281951,2687,667,4.03
1281952,1347,334,4.03
1281953,134,33,4.06
1283585,5020,1245,4.03
1283586,5414,1343,4.03
1283587,4025,999,4.03
1283588,648,161,4.02
1283589,3670,911,4.03
1283590,12803,3177,4.03
1283591,13499,3349,4.03
1283592,12296,3051,4.03
1283593,10488,2602,4.03
1283594,11519,2858,4.03
1283595,6196,1537,4.03
1285226,0,0,0.0
1285227,387,96,4.03
1285228,10570,2623,4.03
1285229,14644,3633,4.03
1285230,10570,2623,4.03
1285231,9618,2387,4.03
1285232,10381,2576,4.03
1285233,9611,2385,4.03
1285234,10857,2694,4.03
1285235,10846,2691,4.03
1285236,12077,2997,4.03
1285237,12625,3133,4.03
1286868,61,15,4.07
1286869,645,160,4.03
1286870,5350,1327,4.03
1286871,4217,1046,4.03
1286872,4956,1230,4.03
1286873,774,192,4.03
1286876,0,0,0.0
1286877,999,248,4.03
1286878,6735,1671,4.03
1286879,10516,2609,4.03
1286880,2927,726,4.03
1286881,380,94,4.04
1288510,249,62,4.02
1288511,6297,1562,4.03
1288512,152,38,4.0
1288520,114,28,4.07
1288521,1610,399,4.04
1288522,2320,576,4.03
1288523,438,109,4.02
1290153,1025,254,4.04
1291795,1166,289,4.03
