fid,Total Population,Total Households,Average Household Size
891339,465,118,3.94
891340,186,47,3.96
891341,411,105,3.91
891342,232,59,3.93
891343,0,0,0.0
891344,177,45,3.93
891345,0,0,0.0
891346,71,18,3.94
892981,2276,580,3.92
892982,1394,355,3.93
892983,720,183,3.93
892984,674,172,3.92
892985,456,116,3.93
892986,46,12,3.83
892987,139,35,3.97
892988,0,0,0.0
892989,0,0,0.0
892990,0,0,0.0
892991,0,0,0.0
892992,0,0,0.0
894623,1944,495,3.93
894624,2624,668,3.93
894625,2425,618,3.92
894626,2351,599,3.92
894627,929,237,3.92
894628,1006,256,3.93
894629,0,0,0.0
894630,115,29,3.97
894631,232,59,3.93
894632,0,0,0.0
894633,0,0,0.0
894634,0,0,0.0
894635,0,0,0.0
894647,0,0,0.0
894648,829,224,3.7
894649,281,76,3.7
894650,662,179,3.7
894651,195,53,3.68
894652,0,0,0.0
896265,1254,319,3.93
896266,1254,319,3.93
896267,1334,340,3.92
896268,1254,319,3.93
896269,908,231,3.93
896270,743,189,3.93
896271,823,209,3.94
896272,664,169,3.93
896273,139,35,3.97
896274,186,47,3.96
896275,93,24,3.88
896276,0,0,0.0
896277,0,0,0.0
896278,0,0,0.0
896289,0,0,0.0
896290,1529,412,3.71
896291,4138,1116,3.71
896292,1456,393,3.7
896293,1463,395,3.7
896294,1389,375,3.7
896295,0,0,0.0
896296,0,0,0.0
896297,0,0,0.0
897907,650,166,3.92
897908,650,166,3.92
897909,697,177,3.94
897910,636,162,3.93
897911,259,66,3.92
897912,264,67,3.94
897913,1031,262,3.94
897914,992,253,3.92
897915,1987,506,3.93
897916,360,92,3.91
897917,186,47,3.96
897918,0,0,0.0
897919,0,0,0.0
897920,0,0,0.0
897921,0,0,0.0
897931,0,0,0.0
897932,785,212,3.7
897933,2071,559,3.7
897934,9854,2658,3.71
897935,8480,2288,3.71
897936,11134,3003,3.71
897937,7424,2002,3.71
897938,1257,339,3.71
897939,24,7,3.43
899549,650,166,3.92
899550,734,187,3.93
899551,743,189,3.93
899552,325,83,3.92
899553,388,99,3.92
899554,480,122,3.93
899555,279,71,3.93
899556,325,83,3.92
899557,2867,730,3.93
899558,1517,386,3.93
899559,779,198,3.93
899560,372,95,3.92
899561,0,0,0.0
899562,0,0,0.0
899563,0,0,0.0
899573,0,0,0.0
899574,131,35,3.74
899575,4978,1343,3.71
899576,12273,3310,3.71
899577,12266,3309,3.71
899578,12505,3373,3.71
899579,8234,2221,3.71
899580,3423,923,3.71
899581,1048,283,3.7
901191,546,139,3.93
901192,186,47,3.96
901193,0,0,0.0
901194,186,47,3.96
901195,736,188,3.91
901196,207,53,3.91
901197,0,0,0.0
901198,325,83,3.92
